cve_sun,Domestic Appliance Manufacturing,Electrical Equipment and Accessories,Printing Industries,Chemical Industries,Equipment and Machinery Manufacturing,Transportation Equipment Manufacturing,Freight Transport,Grupo 8,id,region
185,12,73,42,3,263,556,1780,6,1,Northeast
1748,10,47,98,8,439,400,1216,2,2,Center-west
590,34,106,341,21,525,604,1880,9,3,Megalopolis
401,4,45,13,0,72,116,376,0,4,Northwest
321,0,3,8,0,3,12,129,15,5,Gulf-east
306,5,24,36,0,120,268,433,0,6,Center-north
419,1,3,15,0,32,30,186,12,7,Yucatán peninsula
3970,66,301,553,32,1454,1986,6000,44,8,National
